sentence,answer,direction,difficulty,itemId
People write with hammers.,FALSE,left,,aiV1P1_84
A shoe doesn't have a sole.,FALSE,left,,aiV1P1_85
We drink out of hats.,FALSE,left,,aiV1P1_86
Lambs are baby camels.,FALSE,left,,aiV1P1_87
Children learn from adults.,TRUE,right,,aiV1P1_88
A boat has a sail.,TRUE,right,,aiV1P1_89
Some children have a favorite color.,TRUE,right,,aiV1P1_90
All people eat rainbows.,FALSE,left,,aiV1P1_91
A deer has wings.,FALSE,left,,aiV1P1_92
A bus takes people places.,TRUE,right,,aiV1P1_93
Eggs come from clouds.,FALSE,left,,aiV1P1_94
Rabbits have soft fur.,TRUE,right,,aiV1P1_95
We wear shoes to know time.,FALSE,left,,aiV1P1_96
Paper can be folded.,TRUE,right,,aiV1P1_97
Jellyfish are land creatures with short arms that can high-five.,FALSE,left,,aiV1P1_98
Ice is boiling water.,FALSE,left,,aiV1P1_99
An adult is a grown-up.,TRUE,right,,aiV1P1_100
Squirrels live underwater.,FALSE,left,,aiV1P1_101
Friends help each other.,TRUE,right,,aiV1P1_102
Elephants are large animals with big ears and a long trunk.,TRUE,right,,aiV1P1_103
Orange juice comes from oranges.,TRUE,right,,aiV1P1_104
Children shrink as they get older.,FALSE,left,,aiV1P1_105
A kitten is a baby elephant.,FALSE,left,,aiV1P1_106
Sheep have thick wool.,TRUE,right,,aiV1P1_107
People have different heights.,TRUE,right,,aiV1P1_108
Straws help us listen to music.,FALSE,left,,aiV1P1_109
A giraffe has a long neck.,TRUE,right,,aiV1P1_110
We wake up in the evening.,FALSE,left,,aiV1P1_111
Turtles can fly in their shells.,FALSE,left,,aiV1P1_112
"Music cannot be played on instruments like drums, guitars, and pianos.",FALSE,left,,aiV1P1_113
A bee can knit.,FALSE,left,,aiV1P1_114
A pig is blue and thin.,FALSE,left,,aiV1P1_115
A computer blocks our work.,FALSE,left,,aiV1P1_116
People wear glasses to help them hear more clearly.,FALSE,left,,aiV1P1_117
People of all ages can enjoy spending time with animals.,TRUE,right,,aiV1P1_118
Shoes always have wheels.,FALSE,left,,aiV1P1_119
Fire is hot and burns.,TRUE,right,,aiV1P1_120
Kids put on backpacks for school.,TRUE,right,,aiV1P1_121
We use keys to open doors.,TRUE,right,,aiV1P1_122
The sky is yellow.,FALSE,left,,aiV1P1_123
Chickens lay marbles for us to eat.,FALSE,left,,aiV1P1_124
All people need love and care.,TRUE,right,,aiV1P1_125
Books are for reading and learning.,TRUE,right,,aiV1P1_126
A mountain is tall and rocky.,TRUE,right,,aiV1P1_127
Buttons help close clothes.,TRUE,right,,aiV1P1_128
Water is wet and we need it to stay healthy.,TRUE,right,,aiV1P1_129
"Apples can be red, green, or yellow.",TRUE,right,,aiV1P1_130
