"","sentence","itemId"
"87","The United States of America is in Africa.","lab_87"
"88","Some girls play the piano.","lab_88"
"89","Pets can keep people company.","lab_89"
"90","Adults can be sad.","lab_90"
"91","Blankets help keep you cold.","lab_91"
"92","Puppies carry backpacks on their back.","lab_92"
"93","When a traffic light is red you need to stop.","lab_93"
"94","All flowers are yellow.","lab_94"
"95","Friends can cheer you up when you are having a bad day.","lab_95"
"96","Tigers sometimes swing at playgrounds.","lab_96"
"97","Mice have ears.","lab_97"
"98","Cloudy days are always warm.","lab_98"
"99","Boys usually wash their hair with yogurt.","lab_99"
"100","Umbrellas are useful for keeping people dry when it rains.","lab_100"
"101","Bears can talk.","lab_101"
"102","A picture can hang on the wall.","lab_102"
"103","Some people like to read books before they go to sleep.","lab_103"
"104","Adults are usually taller than their children.","lab_104"
"105","Halloween is a holiday in February.","lab_105"
"106","Most babies know how to drive a car.","lab_106"
"107","Stones can be found near a river.","lab_107"
"108","A raven is a bird.","lab_108"
"109","Police officers drive school busses while on duty.","lab_109"
"110","Wheels are round.","lab_110"
"111","Television shows are longer than movies.","lab_111"
"112","Hats should be worn on your elbow.","lab_112"
"113","Every child holds pencils with their left hand.","lab_113"
"114","Snow always falls in the summer.","lab_114"
"115","A gardener works at a bakery.","lab_115"
"116","A cactus grows under the sea.","lab_116"
"117","Some people get to work using a spaceship.","lab_117"
"118","Friends can do many things together after school.","lab_118"
"119","A tricycle has two wheels.","lab_119"
"120","Ice helps to keep things cold.","lab_120"
"121","People can use credit cards to pay in stores.","lab_121"
"122","Another name for a present is a gift.","lab_122"
"123","Dish washers make plates dirty.","lab_123"
"124","Doors are always open.","lab_124"
"125","Trampolines help you bounce higher.","lab_125"
"126","Trashcans can become smelly if trash is left inside too long.","lab_126"
"127","A mouse is a rodent that squeaks.","lab_127"
"128","The weather in the winter can be unpredictable.","lab_128"
"129","There are many types of lizards.","lab_129"
"130","Most people play board games with at least one other person.","lab_130"
"131","A fish can swim.","TOSREC_1"
"132","Pigs can fly.","TOSREC_2"
"133","Bears have fur.","TOSREC_3"
"134","A fox can run.","TOSREC_4"
"135","Mom can ride a kite.","TOSREC_5"
"136","Cats drive a bus.","TOSREC_6"
"137","The grass is green.","TOSREC_7"
"138","Cows go to church.","TOSREC_8"
"139","You can help a baby.","TOSREC_9"
"140","You sleep on a log.","TOSREC_10"
"141","Ducks like to dress up.","TOSREC_11"
"142","You can eat an egg.","TOSREC_12"
"143","A mouse can quack.","TOSREC_13"
"144","Birds fly in the sky.","TOSREC_14"
"145","Some girls like juice.","TOSREC_15"
"146","A princess lives in the sun.","TOSREC_16"
"147","You can keep money in the bank.","TOSREC_17"
"148","An eagle is a small bird.","TOSREC_18"
"149","You can feed a hamster.","TOSREC_19"
"150","Popcorn can be cooked on a stove.","TOSREC_20"
"151","You eat cereal with a fork.","TOSREC_21"
"152","A lion can fly at night.","TOSREC_22"
"153","You can fill a balloon with air.","TOSREC_23"
"154","A fishing boat can be at a dock.","TOSREC_24"
"155","You might find a cabin in the woods.","TOSREC_25"
"156","Football is played by frogs.","TOSREC_26"
"157","You can find starfish in space.","TOSREC_27"
"158","A joke might not be funny.","TOSREC_28"
"159","You can ride a rooster.","TOSREC_29"
"160","A doctor can help if you are sick.","TOSREC_30"
"161","Clowns live in caves with crickets.","TOSREC_31"
"162","You can practice how to sail a boat.","TOSREC_32"
"163","Bullfrogs wear green boots on their feet.","TOSREC_33"
"164","You say good-bye when you leave.","TOSREC_34"
"165","You might earn money if you clean your room.","TOSREC_35"
"166","A wagon is used for catching fish.","TOSREC_36"
"167","An artist can paint a picture.","TOSREC_37"
"168","You can grow onions in a tree.","TOSREC_38"
"169","A boy might read an article in a book.","TOSREC_39"
"170","You can use a rattle to write a letter.","TOSREC_40"
"171","A horse can slide up a mountain covered in snow.","TOSREC_41"
"172","Raindrops can fall down a chimney.","TOSREC_42"
"173","You might find a parade of ants at a picnic.","TOSREC_43"
"174","A boy can use a ladder to climb into a tree house.","TOSREC_44"
"175","Doughnuts like to read comic books.","TOSREC_45"
"176","You might learn counting and addition at school.","TOSREC_46"
"177","The weather is hot and sunny in the Arctic.","TOSREC_47"
"178","Lobsters might be found eating grain in a snowstorm.","TOSREC_48"
"179","Sharks like to ride on moving skateboards.","TOSREC_49"
"180","A couch and tables are for sale in a furniture store.","TOSREC_50"
"181","A boy can eat cake.","TOSREC_51"
"182","It is hot in the snow.","TOSREC_52"
"183","A horse lives in a barn.","TOSREC_53"
"184","The sun is dark.","TOSREC_54"
"185","A car can walk.","TOSREC_55"
"186","You can look at a house.","TOSREC_56"
"187","A girl can wear a shoe.","TOSREC_57"
"188","You write with gum.","TOSREC_58"
"189","You can drive a hen.","TOSREC_59"
"190","Fish swim in a lake.","TOSREC_60"
"191","A tiger will roar.","TOSREC_61"
"192","A princess lives on the sun.","TOSREC_62"
"193","There is sand at the beach.","TOSREC_63"
"194","You can buy some food in a market.","TOSREC_64"
"195","Moths listen to moons.","TOSREC_65"
"196","You can cook an airport.","TOSREC_66"
"197","Birds make nests for their babies.","TOSREC_67"
"198","A boy might read an article.","TOSREC_68"
"199","A lighthouse shines brightly at night.","TOSREC_69"
"200","You might find an island in your cereal.","TOSREC_70"
"201","Ladders are always made of steak.","TOSREC_71"
"202","A chipmunk can work on the railroad.","TOSREC_72"
"203","You can write with an onion.","TOSREC_73"
"204","You might find a starfish jogging by the sea.","TOSREC_74"
"205","The alphabet is made of coal and sticks.","TOSREC_75"
"206","A carrot has three eyes, one nose, and a mouth.","TOSREC_76"
"207","You may borrow a pencil from a cat.","TOSREC_77"
"208","A mother will be proud if her children fail in school.","TOSREC_78"
"209","Baby chickens are called chicks.","TOSREC_79"
"210","A storm can produce flooding.","TOSREC_80"
"211","Doughnuts grow in the ground with spinach.","TOSREC_81"
"212","A mule might pull a heavy wagon up a steep hill.","TOSREC_82"
"213","A lighthouse is used to shine light for ships sailing to shore.","TOSREC_83"
"214","Cattle swim in catnip.","TOSREC_84"
"215","Some greyhounds are raised for racing around a track.","TOSREC_85"
"216","Students are supposed to obey the rule of the class.","TOSREC_86"
"217","You can iron wrinkles out of puppies.","TOSREC_87"
"218","If you have a lot of school spirit you might cheer loudly at games.","TOSREC_88"
"219","Mice play checkers with cats on Tuesday mornings.","TOSREC_89"
"220","You can find icebergs in the desert.","TOSREC_90"
"221","Some people who want to lose weight count calories.","TOSREC_91"
"222","It is a crime if a boy shoplifts candy from a store.","TOSREC_92"
"223","A shark can play the bagpipes at a baseball game.","TOSREC_93"
"224","You might find an old arrowhead buried in the dirt.","TOSREC_94"
"225","The planets can be found in a pineapple under the sea.","TOSREC_95"
"226","Puppies gallop faster than horses.","TOSREC_96"
"227","A doctor uses a telescope to check your heart.","TOSREC_97"
"228","A relative can be your cousin.","TOSREC_98"
"229","A teacher might have an assistant in the classroom.","TOSREC_99"
"230","A cowboy is a person who enjoys riding seals.","TOSREC_100"
"231","You might use goggles to see while swimming under water.","TOSREC_101"
"232","Eyeglasses are meant to be worn inside your socks.","TOSREC_102"
"233","A girl can be a bridesmaid in her sister�s wedding.","TOSREC_103"
"234","The sun is round.","TOSREC_104"
"235","A ball can see.","TOSREC_105"
"236","A baby can row a boat.","TOSREC_106"
"237","You can clean a room.","TOSREC_107"
"238","Schoolwork can be hard to do.","TOSREC_108"
"239","A hamster can have ten feet.","TOSREC_109"
"240","Friday is a month of the year.","TOSREC_110"
"241","A prince likes to eat sand for dinner.","TOSREC_111"
"242","A car requires gas.","TOSREC_112"
"243","A girl can talk on a telephone.","TOSREC_113"
"244","A banana is good to drink.","TOSREC_114"
"245","A state has a capital.","TOSREC_115"
"246","You play checkers on a journal.","TOSREC_116"
"247","You can move a mountain in a wagon.","TOSREC_117"
"248","A storm might be powerful.","TOSREC_118"
"249","A lighthouse can be in a harbor.","TOSREC_119"
"250","A porcupine is fun to pet.","TOSREC_120"
"251","Chrome is always very dull.","TOSREC_121"
"252","A dog can be hard to control if a rabbit runs by.","TOSREC_122"
"253","A teenager is a boy or girl who is less than ten years old.","TOSREC_123"
"254","A student might need help doing homework.","TOSREC_124"
"255","Most people wear jackets on their feet rather than shoes.","TOSREC_125"
"256","A hawk might fly down from a tree to chase after a rabbit.","TOSREC_126"
"257","You can buy popcorn in a movie theter.","TOSREC_127"
"258","A melon is a fish that is bigger than a salmon.","TOSREC_128"
"259","A bucket filled with a hundred gold coins is worthless.","TOSREC_129"
"260","A majority of votes means more than half of them.","TOSREC_130"
"261","It is unusual for the sun to rise in the morning.","TOSREC_131"
"262","A family might go to a store to purchase a new bed.","TOSREC_132"
"263","A watermelon can be too big for a small boy to lift.","TOSREC_133"
"264","A castle made in the sand at the beach is very sturdy.","TOSREC_134"
"265","Most people eat their breakfast at midnight.","TOSREC_135"
"266","A tortoise is faster than a greyhound.","TOSREC_136"
"267","A test tube might break if you drop it during an experiment.","TOSREC_137"
"268","You should invite vultures to a wedding.","TOSREC_138"
"269","A tongue makes a good hammer for pounding nails into a wall.","TOSREC_139"
"270","A captain might request cheese for his chili.","TOSREC_140"
"271","A principal might talk with a girl about what she wore to school.","TOSREC_141"
"272","An astronaut is a person who sells used cars for a living.","TOSREC_142"
"273","Some people prefer to have their own pillow with them on a trip.","TOSREC_143"
"274","Your arm is connected to your elbow by your ankle.","TOSREC_144"
"275","A person who cooks a meal may go to the store to buy an ingredient.","TOSREC_145"
"276","A cowboy who rides bareback does not use a saddle.","TOSREC_146"
"277","A doctor might tell a patient to exercise more.","TOSREC_147"
"278","A passenger is a man who plays a violin.","TOSREC_148"
"279","A boy who is not a good swimmer will wear luggage to keep from sinking.","TOSREC_149"
"280","A candidate for Congress might ask you to decide to vote for her.","TOSREC_150"
"281","Bison like to dress up in costumes and go to dinner parties.","TOSREC_151"
"282","A teacher might recommend that you stop talking to a friend and do your work.","TOSREC_152"
"283","People walked on the moon in prehistoric times.","TOSREC_153"
"284","You can get some information that you need from a radio.","TOSREC_154"
"285","Playing ball can be a good way to get recreation and exercise.","TOSREC_155"
"286","Mathematics is the study of plant life.","TOSREC_156"
"287","Bubbles you blow from bubble gum are very durable.","TOSREC_157"
"288","People who build tunnels through mountains might use dynamite.","TOSREC_158"
"289","A penny is a significant sum of money.","TOSREC_159"
"290","A viscious dog is very friendly and safe around children.","TOSREC_160"
"291","You might be told a tale about ghosts who inhabit cemeteries.","TOSREC_161"
"292","You can look at a book.","TOSREC_162"
"293","Snow is green.","TOSREC_163"
"294","You can fly a kite.","TOSREC_164"
"295","A father can go to work.","TOSREC_165"
"296","Ants have hats.","TOSREC_166"
"297","You wear a ring on your elbow.","TOSREC_167"
"298","A student may have to go see the principal.","TOSREC_168"
"299","A family might go to a store to purchase a bed.","TOSREC_169"
"300","You might invite your friends to your birthday party.","TOSREC_170"
"301","A salmon will run after bears to eat them for dinner.","TOSREC_171"
"302","Bacon is grown in dry climates.","TOSREC_172"
"303","A boy might make a girl blush by giving her candy and flowers.","TOSREC_173"
"304","You can find several bodyguards at the White House.","TOSREC_174"
"305","Velvet is an expensive product made of hamsters.","TOSREC_175"
"306","Potato farmers love droughts in the spring.","TOSREC_176"
"307","A man might smoke a cigar while playing a game of poker with friends.","TOSREC_177"
"308","You might go to a conference to learn more about playing chess.","TOSREC_178"
"309","A cannon is a small owl that is easily thrown into the air.","TOSREC_179"
"310","Dwarf hamsters eat entire trees.","TOSREC_180"
"311","A girl can be a bridesmaid in her sister's wedding.","TOSREC_181"
"312","A blacksmith hammers shoes for horses out of hot metal.","TOSREC_182"
"313","Sneezing when you go out is an emergency.","TOSREC_183"
"314","Some airplanes fly at a very high altitude.","TOSREC_184"
"315","If you win a million dollars you will be dejected.","TOSREC_185"
"316","An amateur athlete might train after school.","TOSREC_186"
"317","Too many absences can make it difficult to keep up with your work and get good grades.","TOSREC_187"
"318","If you are careless when doing work you can make mistakes.","TOSREC_188"
"319","A doctor spends most of her time examining rocks and comets.","TOSREC_189"
"320","Firecrackers are good to eat for dinner.","TOSREC_190"
"321","If you win an award, you should acknowledge people who helped you along the way.","TOSREC_191"
"322","Fertilizer is used to keep plants from growing.","TOSREC_192"
"323","A planet that is habitable will support life.","TOSREC_193"
"324","Dynamite is often used in cooking.","TOSREC_194"
"325","Frost can appear on a vehicle if the climate is extremely cold.","TOSREC_195"
"326","An assertive girl is likely to say what she really thinks rather than keep quiet.","TOSREC_196"
"327","The weather always is very cold at the equator.","TOSREC_197"
"328","Someone with a large appetite will eat very little food.","TOSREC_198"
"329","Not being able to swim is a barrier to having a career as a swimming instructor.","TOSREC_199"
"330","Wearing a blindfold is better than wearing glasses if you cannot see the board clearly.","TOSREC_200"
"331","A solitary bird flying overhead will block out the sun and make it dark during the day.","TOSREC_201"
"332","A boomerang that has been thrown correctly is supposed to come back to the person who threw it.","TOSREC_202"
"333","An airplane can fly high.","TOSREC_203"
"334","A cat will eat a mailbox.","TOSREC_204"
"335","A bank has money.","TOSREC_205"
"336","Sugar is good to put on your feet.","TOSREC_206"
"337","A banana is a fruit you can eat.","TOSREC_207"
"338","A sentence ends with a comma.","TOSREC_208"
"339","Rabbits like to eat carrots.","TOSREC_209"
"340","A neighbor lives far away.","TOSREC_210"
"341","A boy standing outside may have a shadow.","TOSREC_211"
"342","Having lots of wrinkles means that you are very young.","TOSREC_212"
"343","A teacher might write a story on a blackboard.","TOSREC_213"
"344","A spark might terrify a new leather chair.","TOSREC_214"
"345","Many schools are used to educate ants.","TOSREC_215"
"346","A passenger is a man who plays violin.","TOSREC_216"
"347","You can eat a hamburger with mustard for dinner.","TOSREC_217"
"348","A microscope is for seeing things that are far away.","TOSREC_218"
"349","Parents can ask for a conference to talk about a child's grades.","TOSREC_219"
"350","When food is abundant, there will be limited amounts of food to eat.","TOSREC_220"
"351","If you go to the circus, you might get to see the acrobats perform.","TOSREC_221"
"352","If you want to keep a secret, you should broadcast it on the radio.","TOSREC_222"
"353","You will want to spend a lot of time with a person who is very annoying.","TOSREC_223"
"354","Some children with an allergy might be allergic to pets such as dogs or cats.","TOSREC_224"
"355","A friend you admire is someone you have little respect for.","TOSREC_225"
"356","Some children who help around the house get an allowance from their parents.","TOSREC_226"
"357","If an unexpected guest arrives, you might have to adjust your plans.","TOSREC_227"
"358","An alert watchdog will sleep through a burglary attempt.","TOSREC_228"
"359","If an automobile stops abruptly, a box on the the seat might fall on the floor.","TOSREC_229"
"360","A billion dollars is a small amount of money for most of us.","TOSREC_230"
"361","A student who studies abroad will leave her country to go to college.","TOSREC_231"
"362","An illegal alien is a person who was born in this country.","TOSREC_232"
"363","Barbecue is a sport that requires a big field, a baseball, and a bat.","TOSREC_233"
"364","A barometer is good for telling how hot or cold it is outside.","TOSREC_234"
"365","Archeology is a field of science that is used to predict if it will rain.","TOSREC_235"
"366","A mechanic might recommend that you rotate your tires.","TOSREC_236"
"367","Anything made of steel is flexible.","TOSREC_237"
"368","An asteroid is best eaten for breakfast or dinner.","TOSREC_238"
"369","Climbing a mountain can be treacherous.","TOSREC_239"
"370","A confidential story should be shared with others.","TOSREC_240"
"371","A candidate who loses a close election might ask for a recount.�","TOSREC_241"
"372","A teacher might be emphatic about the need to follow classroom rules.","TOSREC_242"
"373","Flies should be kept safe because they are endangered animals.","TOSREC_243"
"374","Radioactive waste is good for the environment if it leaks out on the ground.","TOSREC_244"
"375","Doing the same thing over and over again can be very monotonous.","TOSREC_245"
"376","A victorious runner might have a reason to be happy.","TOSREC_246"
"377","A gangster is a person who gives millions to charities.","TOSREC_247"
"378","A fisherman might exaggerate the size of a trophy fish that got away.","TOSREC_248"
"379","Many school children carry a fire hydrant in their backpacks in case a fire alarm occurs.","TOSREC_249"
"380","Doing two hundred sit-ups requires stamina.","TOSREC_250"
"381","A dissatisfied customer is likely to leave a very large tip after a meal.","TOSREC_251"
"382","A good label for a box that contains all kinds of different things would be ""Miscellaneous"".","TOSREC_252"
"383","When a shortage of gasoline occurs, too much is available for purchase.","TOSREC_253"
"384","A provisional decision is one that is permanent and not subject to change.","TOSREC_254"
"385","Adults are small.","TOSREC_255"
"386","A person might wear an apron while cooking.","TOSREC_256"
"387","A person who gets lost might try to use a compass to get home safely.","TOSREC_257"
"388","You might be anxious if you are about to take a spelling test.","TOSREC_258"
"389","Drinking water is a good precaution to take if it is hot and you are going to run.","TOSREC_259"
"390","People ride to a shopping mall in envelopes.","TOSREC_260"
"391","Blinking your eyes is a very dangerous thing to do.","TOSREC_261"
"392","A light rain is an example of a major disaster.","TOSREC_262"
"393","A celebrity might be asked for her autograph.","TOSREC_263"
"394","Men wear cosmetics to make them feel more intelligent.","TOSREC_264"
"395","Asthma is a problem that sometimes can make it difficult to breathe.","TOSREC_265"
"396","A formidable challenge is one that is very easy to deal with.","TOSREC_266"
"397","If you are right-handed, it probably will feel awkward if you attempt to write with your left hand.","TOSREC_267"
"398","Identical twins are very easy to tell apart when you first meet them.","TOSREC_268"
"399","It is easy to ignite a fire using matches under water.","TOSREC_269"
"400","A boycott might be organized as a way to protest a decision made by a store.","TOSREC_270"
"401","If you go to a restaurant with a buffet you get to pick whatever you want to eat.","TOSREC_271"
"402","Birds, turtles, and trees are invisible.","TOSREC_272"
"403","A microphone is used to take pictures on vacation.","TOSREC_273"
"404","Charcoal is sometimes used to cook hamburgers or hot dogs.","TOSREC_274"
"405","A contagious disease can be passed from one person to another.","TOSREC_275"
"406","You can misunderstand people if they talk so quietly that you cannot hear them clearly.","TOSREC_276"
"407","A generator can be useful if a storm causes the power to go out.","TOSREC_277"
"408","The safest time to go swimming, boating, or fishing is during a severe typhoon.","TOSREC_278"
"409","Good students might be honored for their accomplishments at a school assembly.","TOSREC_279"
"410","A reluctant skydiver is eager to jump from an airplane.","TOSREC_280"
"411","Most people wear ancient pyramids on their wrists for predicting weather.","TOSREC_281"
"412","A microscopic germ is bigger than a building but smaller than a city.","TOSREC_282"
"413","A criminal who tries to blackmail someone may hope to get money from his victim.","TOSREC_283"
"414","Most people would be disappointed to learn that they were millionaires.","TOSREC_284"
"415","A confidential remark is not meant to be repeated to others.","TOSREC_285"
"416","Winning the lottery would be complete agony for most people.","TOSREC_286"
"417","A convict who attempts to escape from prison is likely to receive a longer sentence.","TOSREC_287"
"418","An airplane accelerates down the runway before lifting off into the air.","TOSREC_288"
"419","An abbreviated program is one that is longer than a complete program.","TOSREC_289"
"420","Most parents will disapprove if their children earn perfect scores on a difficult and important test.","TOSREC_290"
"421","Some criminals have an accomplice who accompanies them.","TOSREC_291"
"422","Libraries prefer that all people be delinquent in returning books.","TOSREC_292"
"423","A football game that ends with a tie score of fourteen to fourteen is an example of a decisive victory.","TOSREC_293"
"424","Bleach is sometimes used in washing machines to remove difficult stains from very dirty clothes.","TOSREC_294"
"425","You can play with a toy in the bathtub.","TOSREC_295"
"426","Blue jays are smaller than ants.","TOSREC_296"
"427","Farmers grow wheat in large fields.","TOSREC_297"
"428","Snakes are good at farming.","TOSREC_298"
"429","You can buy popcorn in a movie theater.","TOSREC_299"
"430","Teenagers like to drive sponges to school.","TOSREC_300"
"431","A man in prison can roam freely throughout the world.","TOSREC_301"
"432","You might calculate to solve a problem in a math class.","TOSREC_302"
"433","Some of our ancestors were born and lived in prehistoric times.","TOSREC_303"
"434","If you spend more than your budget allows, you may run short of money.","TOSREC_304"
"435","A teacher might put a bonus question on a test to give students extra credit.","TOSREC_305"
"436","A boycott might be organized as a way to protect a decision made by a store.","TOSREC_306"
"437","A hunter wears camouflage to be seen more easily.","TOSREC_307"
"438","An automatic decision is one that requires a lot of thought.","TOSREC_308"
"439","Doing the same thing over and over again can be monotonous.","TOSREC_309"
"440","If you commit a serious crime you might be sent to a penitentiary.","TOSREC_310"
"441","You may be asked to calculate answers to difficult problems in a college math class.","TOSREC_311"
"442","Wearing a blindfold is better than wearing glasses if you cannot see the board.","TOSREC_312"
"443","It would be dishonest to return a lost wallet with all of the money inside it to its owner.","TOSREC_313"
"444","One way to find a solution to a disagreement is to look for a compromise.","TOSREC_314"
"445","A disinfectant is useful for killing some germs that can cause illness.","TOSREC_315"
"446","The main problem with having a famine is overly abundant food to eat.","TOSREC_316"
"447","A math teacher who asks you to estimate an answer is asking for an answer that is exact.","TOSREC_317"
"448","A speedometer is used to tell what the temperature is outside.","TOSREC_318"
"449","Eating spoiled food can cause an upset stomach or other problems with digestion.","TOSREC_319"
"450","A punctual student always is late for his classes or any appointments.","TOSREC_320"
"451","Most adolescents go to school and like movies and listening to music.","TOSREC_321"
"452","People have seven hundred thousand knuckles on their ankles and noses.","TOSREC_322"
"453","If a tiger escaped from a zoo and was walking in a city, it would cause commotion.","TOSREC_323"
"454","An automobile is useful for going out to eat or to the grocery store.","TOSREC_324"
"455","A teacher might give you criticism about a paper you wrote to make you a better writer.","TOSREC_325"
"456","Toxic oil spills in oceans, streams, and lakes are beneficial for the environment.","TOSREC_326"
"457","The purpose of the population census is to count the number of rainy days every month.","TOSREC_327"
"458","Very large farms with many kinds of livestock and many fileds for planting can cover a lot of acreage.","TOSREC_328"
"459","Clam chowder is made from various spiders, peanuts, and several kinds of insects.","TOSREC_329"
"460","A computer works best if it is thrown from the top floor of a tall building during a major thunderstorm.","TOSREC_330"
"461","An adequate number of players on a team is required to be able to play an opponent.","TOSREC_331"
"462","Giving to needy individuals who have less than you is an admirable thing to do","TOSREC_332"
"463","A leaf falling from a tree will endanger most every resident in a city.","TOSREC_333"
"464","People who are adrift in a boat with a broken-down motor may be lucky and be rescued by a passing boater.","TOSREC_334"
"465","Studying hard and listening in class are advisable if you want to achieve better grades.","TOSREC_335"
"466","Ice cream is a very distasteful thing to be given to eat for almost all children regardless of their age.","TOSREC_336"
"467","A tornado can result in a catastrophe if it strikes where people will live and a safe place to go is not available.","TOSREC_337"
"468","Most bankers are given bonuses if they are able to embezzle money from the bank to buy a sailboat.","TOSREC_338"
"469","Compulsory rules are not optional but rather must always be followed.","TOSREC_339"
"470","Hamburgers and hot dogs sometimes are sold at concession stands at various sporting events.","TOSREC_340"
"471","Two people who dislike being together are inseparable.","TOSREC_341"
"472","Fingerprints can incriminate a suspect.","TOSREC_342"
"473","Spanish is the predominant language spoken in Mexico.","TOSREC_343"
"474","Not helping a family whose automobile has broken down is an example of compassion.","TOSREC_344"
"475","A dilapidated building is well maintained.","TOSREC_345"
"476","There is sand in the desert.","TOSREC_346"
"477","People like to eat dirt for lunch as a snack.","TOSREC_347"
"478","A girl can have a lot of freckles on her face.","TOSREC_348"
"479","A beagle might bark to warn its owner if it sees a hawk.","TOSREC_349"
"480","An envelope can be used as a radio.","TOSREC_350"
"481","If you appreciate a gift very much you should tell the person who gave it to you.","TOSREC_351"
"482","A plumber should be called right away if your automobile breaks down.","TOSREC_352"
"483","Getting an ""A"" on an important test would devastate most students.","TOSREC_353"
"484","A bachelor is someone who has been married all of his adult life.","TOSREC_354"
"485","A parent might ask a daughter to buckle her seat belt to protect her in an accident.","TOSREC_355"
"486","People who go fishing sometimes exaggerate the size of the fish they catch.","TOSREC_356"
"487","Hotels are one form of accommodation for people taking trips.","TOSREC_357"
"488","If too much rain accumulates, severe flooding can damage houses.","TOSREC_358"
"489","A criminal standing trial will be very happy if the jury acquits him.","TOSREC_359"
"490","It can be difficult to move large appliances such as stoves or refrigerators.","TOSREC_360"
"491","With high gasoline prices, a small automobile can be more economical to drive than a large truck.","TOSREC_361"
"492","A substantial dinner consists of one potato chip.","TOSREC_362"
"493","If you are taking a multiple-choice test, it can be helpful to eliminate answers that you know are wrong.","TOSREC_363"
"494","Very little stamina is required for running a distance of twenty miles.","TOSREC_364"
"495","Milk is pasteurized to change its color from purple to orange and to make it fit into a milk carton.","TOSREC_365"
"496","If you hear thunder, keeping away from tall trees can reduce the chance of being electrocuted.","TOSREC_366"
"497","If a painting by a famous artist turns out to be a forgery, its value is likely to be much less.","TOSREC_367"
"498","If a traffic light quits working, two cars could get into an accident at an intersection.","TOSREC_368"
"499","An old cat sleeping on a pillow in front of a sunny window is highly energetic.","TOSREC_369"
"500","It helps to be logical if you are trying to convince someone with an effective argument.","TOSREC_370"
