"identifier","label","en","es-CO","de","fr-CA","nl","en-GH","de-CH","es-AR"
"components/game-tabs.surveyNameTeacherPart2","surveyNameTeacherPart2","Survey - Classroom","Encuesta de profesores - Salón","Umfrage - Klassenzimmer","Enquête - Salle de classe","Enquête - Klaslokaal","Survey - Classroom","Umfrage - Klassenzimmer","Encuesta de profesores - Salón"
"components/game-tabs.surveyProgressGeneral","surveyProgressGeneral","General","General","Allgemein","Général","Algemeen","General","Allgemein","General"
"components/game-tabs.surveyProgressGeneralParent","surveyProgressGeneralParent","Home/Caregiver","Familia","zu Hause/ Erwachsener","Domicile/Gardien","Thuis/ Verzorgen","Home/Caregiver","zu Hause/ Erwachsener","Familia"
"components/game-tabs.surveyProgressGeneralTeacher","surveyProgressGeneralTeacher","Teacher","Profesor","Lehrer","Professeur","Leerkracht","Teacher","Lehrer","Profesor"
"components/game-tabs.surveyProgressSpecificParent","surveyProgressSpecificParent","Child","Niño","Kind","Enfant","Kind","Child","Kind","Niño"
"components/game-tabs.surveyProgressSpecificParentMonth","surveyProgressSpecificParentMonth","Month","Mes","Monat","Mois","Maand","Month","Monat","Mes"
"components/game-tabs.surveyProgressSpecificParentYear","surveyProgressSpecificParentYear","Year","Año","Jahr","Année","Jaar","Year","Jahr","Año"
"components/game-tabs.surveyProgressSpecificTeacher","surveyProgressSpecificTeacher","Classroom","Aula","Klassenzimmer","Salle de classe","Klaslokaal","Classroom","Klassenzimmer","Aula"
"components/game-tabs.taskCompleted","taskCompleted","Task Completed!","¡Tarea completa!","Aufgabe abgeschlossen!","Tâche accomplie!","Taak Voltooid!","Task Completed!","Aufgabe abgeschlossen!","¡Tarea completa!"
"components/game-tabs.theoryOfMindDescription","theoryOfMindDescription","Listen to the stories and answer the questions.","Escucha las historias y responde a las preguntas.","Höre dir die Geschichten an und beantworte dann Fragen dazu.","Écoutez les histoires et répondez aux questions.","Luister naar de verhalen en beantwoord de vragen.","Listen to the stories and answer the questions.","Höre dir die Geschichten an und beantworte dann Fragen dazu.","Escucha las historias y responde a las preguntas."
"components/game-tabs.theoryOfMindName","theoryOfMindName","Stories","Historias","Bildergeschichten","Histoires","Verhalen","Stories","Bildergeschichten","Historias"
"components/game-tabs.trogDescription","trogDescription","Listen to the words and choose the matching picture.","Escucha las palabras y elige la imagen correspondiente.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","Écoutez les mots et choisissez l'image correspondante.","Luister naar de woorden en kies het bijpassende plaatje.","Listen to the words and choose the matching picture.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","Escucha las palabras y elige la imagen correspondiente."
"components/game-tabs.trogName","trogName","Sentence Undersanding","Comprensión de Frases","Satzverstehen","Compréhension des Phrases","Zinbegrip","Sentence Undersanding","Satzverstehen","Comprensión de Frases"
"components/game-tabs.vocabDescription","vocabDescription","Listen to the word and choose the matching picture.","Escucha la palabra y elige la imagen correspondiente.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","Écoutez le mot et choisissez l'image correspondante.","Luister naar het woord en kies het passende plaatje.","Listen to the word and choose the matching picture.","Hör dir die Wörter an und wähle das passende Bild dazu aus.","Escucha la palabra y elige la imagen correspondiente."
"components/game-tabs.vocabName","vocabName","Vocabulary","Vocabulario","Vokabeln","Vocabulaire","Woordenschat","Vocabulary","Vokabeln","Vocabulario"
