1CSentences,1CAnswers,1CDirection,2CSentences,2CAnswers,2CDirection,3CSentences,3CAnswers,3CDirection,4CSentences,4CAnswers,4CDirection,5CSentences,5CAnswers,5CAnswer,6CSentences,6CAnswers,6CDirection,7CSentences,7CAnswers,7CDirection,8CSentences,8CAnswers,8CDirection
You can ride a rooster.,No,left,You might find a starfish jogging by the sea.,No,left,A majority of votes means more than half of them.,Yes,right,A man might smoke a cigar while playing a game of poker with friends.,Yes,right,A friend you admire is someone you have little respect for.,No,left,Asthma is a problem that sometimes can make it difficult to breathe.,Yes,right,A math teacher who asks you to estimate an answer is asking for an answer that is exact.,No,left,A criminal standing trial will be very happy if the jury acquits him.,Yes,right
A doctor can help if you are sick.,Yes,right,A boy can use a ladder to climb into a tree house.,Yes,right,It is unusual for the sun to rise in the morning.,No,left,Puppies gallop faster than horses.,No,left,Some children who help around the house get an allowance from their parents.,Yes,right,A formidable challenge is one that is very easy to deal with.,No,left,A speedometer is used to tell what the temperature is outside.,No,left,It can be difficult to move large appliances such as stoves or refrigerators.,Yes,right
Clowns live in caves with crickets.,No,left,The alphabet is made of coal and sticks.,No,left,A family might go to a store to purchase a new bed.,Yes,right,A teacher might have an assistant in the classroom.,Yes,right,"If an unexpected guest arrives, you might have to adjust your plans.",Yes,right,"If you are right-handed, it probably will feel awkward if you attempt to write with your left hand.",Yes,right,Eating spoiled food can cause an upset stomach or other problems with digestion.,Yes,right,A computer works best if it is thrown from the top floor of a tall building during a major thunderstorm.,No,left
You can practice how to sail a boat.,Yes,right,Raindrops can fall down a chimney.,Yes,right,A watermelon can be too big for a small boy to lift.,Yes,right,You might go to a conference to learn more about playing chess.,Yes,right,An alert watchdog will sleep through a burglary attempt.,No,left,Identical twins are very easy to tell apart when you first meet them.,No,left,A punctual student always is late for his classes or any appointments.,No,left,A leaf falling from a tree will endanger most every resident in a city.,No,left
Bullfrogs wear green boots on their feet.,No,left,"A carrot has three eyes, one nose, and a mouth.",No,left,A castle made in the sand at the beach is very sturdy.,No,left,A doctor uses a telescope to check your heart.,No,left,"If an automobile stops abruptly, a box on the the seat might fall on the floor.",Yes,right,It is easy to ignite a fire using matches under water.,No,left,Most adolescents go to school and like movies and listening to music.,Yes,right,"With high gasoline prices, a small automobile can be more economical to drive than a large truck.",Yes,right
You say good-bye when you leave.,Yes,right,You may borrow a pencil from a cat.,No,left,Most people eat their breakfast at midnight.,No,left,A cannon is a small owl that is easily thrown into the air.,No,left,A billion dollars is a small amount of money for most of us.,No,left,A boycott might be organized as a way to protest a decision made by a store.,Yes,right,People have seven hundred thousand knuckles on their ankles and noses.,No,left,A substantial dinner consists of one potato chip.,No,left
You might earn money if you clean your room.,Yes,right,A mother will be proud if her children fail in school.,No,left,A tortoise is faster than a greyhound.,No,left,Dwarf hamsters eat entire trees.,No,left,A student who studies abroad will leave her country to go to college.,Yes,right,If you go to a restaurant with a buffet you get to pick whatever you want to eat.,Yes,right,Someone with a large appetite will eat very little food.,No,left,"If you are taking a multiple-choice test, it can be helpful to eliminate answers that you know are wrong.",Yes,right
A wagon is used for catching fish.,No,left,Baby chickens are called chicks.,Yes,right,A test tube might break if you drop it during an experiment.,Yes,right,A girl can be a bridesmaid in her sister's wedding.,Yes,right,An illegal alien is a person who was born in this country.,No,left,"Birds, turtles, and trees are invisible.",No,left,"If a tiger escaped from a zoo and was walking in a city, it would cause commotion.",Yes,right,Very little stamina is required for running a distance of twenty miles.,No,left
An artist can paint a picture.,Yes,right,A storm can produce flooding.,Yes,right,You should invite vultures to a wedding.,No,left,A cowboy is a person who enjoys riding seals.,No,left,"Barbecue is a sport that requires a big field, a baseball, and a bat.",No,left,A microphone is used to take pictures on vacation.,No,left,Most people would be disappointed to learn that they were millionaires.,No,left,Milk is pasteurized to change its color from purple to orange and to make it fit into a milk carton.,No,left
You can grow onions in a tree.,No,left,Doughnuts grow in the ground with spinach.,No,left,A tongue makes a good hammer for pounding nails into a wall.,No,left,Eyeglasses are meant to be worn inside your socks.,No,left,"If you win an award, you should acknowledge people who helped you along the way.",Yes,right,Charcoal is sometimes used to cook hamburgers or hot dogs.,Yes,right,An automobile is useful for going out to eat or to the grocery store.,Yes,right,"If you hear thunder, keeping away from tall trees can reduce the chance of being electrocuted.",Yes,right
A boy might read an article in a book.,Yes,right,A mule might pull a heavy wagon up a steep hill.,Yes,right,A captain might request cheese for his chili.,Yes,right,A blacksmith hammers shoes for horses out of hot metal.,Yes,right,A barometer is good for telling how hot or cold it is outside.,No,left,A penny is a significant sum of money.,No,left,A microscopic germ is bigger than a building but smaller than a city.,No,left,The purpose of the population census is to count the number of rainy days every month.,No,left
You can use a rattle to write a letter.,No,left,A lighthouse is used to shine light for ships sailing to shore.,Yes,right,A principal might talk with a girl about what she wore to school.,Yes,right,You might use goggles to see while swimming under water.,Yes,right,Archeology is a field of science that is used to predict if it will rain.,No,left,A contagious disease can be passed from one person to another.,Yes,right,A teacher might give you criticism about a paper you wrote to make you a better writer.,Yes,right,"If a painting by a famous artist turns out to be a forgery, its value is likely to be much less.",Yes,right
A horse can slide up a mountain covered in snow.,No,left,Cattle swim in catnip.,No,left,An astronaut is a person who sells used cars for a living.,No,left,Sneezing when you go out is an emergency.,No,left,A mechanic might recommend that you rotate your tires.,Yes,right,You can misunderstand people if they talk so quietly that you cannot hear them clearly.,Yes,right,"Toxic oil spills in oceans, streams, and lakes are beneficial for the environment.",No,left,"If a traffic light quits working, two cars could get into an accident at an intersection.",Yes,right
Raindrops can fall down a chimney.,Yes,right,Some greyhounds are raised for racing around a track.,Yes,right,Some people prefer to have their own pillow with them on a trip.,Yes,right,Some airplanes fly at a very high altitude.,Yes,right,Anything made of steel is flexible.,No,left,A generator can be useful if a storm causes the power to go out.,Yes,right,The purpose of the population census is to count the number of rainy days every month.,No,left,An old cat sleeping on a pillow in front of a sunny window is highly energetic.,No,left
You might find a parade of ants at a picnic.,Yes,right,Students are supposed to obey the rule of the class.,Yes,right,Your arm is connected to your elbow by your ankle.,No,left,If you win a million dollars you will be dejected.,No,left,An asteroid is best eaten for breakfast or dinner.,No,left,"The safest time to go swimming, boating, or fishing is during a severe typhoon.",No,left,Very large farms with many kinds of livestock and many fileds for planting can cover a lot of acreage.,Yes,right,It helps to be logical if you are trying to convince someone with an effective argument.,Yes,right
A boy can use a ladder to climb into a tree house.,Yes,right,You can iron wrinkles out of puppies.,No,left,A person who cooks a meal may go to the store to buy an ingredient.,Yes,right,An amateur athlete might train after school.,Yes,right,Climbing a mountain can be treacherous.,Yes,right,Good students might be honored for their accomplishments at a school assembly.,Yes,right,"Clam chowder is made from various spiders, peanuts, and several kinds of insects.",No,left,A firefighter pours gasoline on a fire to extinguish it.,No,left
Doughnuts like to read comic books.,No,left,If you have a lot of school spirit you might cheer loudly at games.,Yes,right,A cowboy who rides bareback does not use a saddle.,Yes,right,Too many absences can make it difficult to keep up with your work and get good grades.,Yes,right,You might be told a tale about ghosts who inhabit cemeteries.,Yes,right,A reluctant skydiver is eager to jump from an airplane.,No,left,A computer works best if it is thrown from the top floor of a tall building during a major thunderstorm.,No,left,Mythology refers to true stories of events that happened.,No,left
You might learn counting and addition at school.,Yes,right,Mice play checkers with cats on Tuesday mornings.,No,left,A doctor might tell a patient to exercise more.,Yes,right,If you are careless when doing work you can make mistakes.,Yes,right,A confidential story should be shared with others.,No,left,Most people wear ancient pyramids on their wrists for predicting weather.,No,left,An adequate number of players on a team is required to be able to play an opponent.,Yes,right,A spendthrift can usually be counted on to spend money for lavish entertainment.,Yes,right
The weather is hot and sunny in the Arctic.,No,left,You can find icebergs in the desert.,No,left,A passenger is a man who plays a violin.,No,left,A doctor spends most of her time examining rocks and comets.,No,left,A candidate who loses a close election might ask for a recount. ,Yes,right,Not being able to swim is a barrier to having a career as a swimming instructor.,Yes,right,Giving to needy individuals who have less than you is an admirable thing to do,Yes,right,The abolition of slavery resulted in changes for the South.,Yes,right
Lobsters might be found eating grain in a snowstorm.,No,left,Some people who want to lose weight count calories.,Yes,right,A boy who is not a good swimmer will wear luggage to keep from sinking.,No,left,Firecrackers are good to eat for dinner.,No,left,A teacher might be emphatic about the need to follow classroom rules.,Yes,right,A microscopic germ is bigger than a building but smaller than a city.,No,left,A leaf falling from a tree will endanger most every resident in a city.,No,left,An adversary is someone who takes your side in any argument.,No,left
Sharks like to ride on moving skateboards.,No,left,It is a crime if a boy shoplifts candy from a store.,Yes,right,A candidate for Congress might ask you to decide to vote for her.,Yes,right,"If you win an award, you should acknowledge people who helped you along the way.",Yes,right,Flies should be kept safe because they are endangered animals.,No,left,A criminal who tries to blackmail someone may hope to get money from his victim.,Yes,right,People who are adrift in a boat with a broken-down motor may be lucky and be rescued by a passing boater.,Yes,right,Some citizens who cannot vote because they are away are able to vote by absentee ballot.,Yes,right
A couch and tables are for sale in a furniture store.,Yes,right,A shark can play the bagpipes at a baseball game.,No,left,Bison like to dress up in costumes and go to dinner parties.,No,left,Fertilizer is used to keep plants from growing.,No,left,Radioactive waste is good for the environment if it leaks out on the ground.,No,left,Most people would be disappointed to learn that they were millionaires.,No,left,Studying hard and listening in class are advisable if you want to achieve better grades.,Yes,right,"If you want to be friends with someone, the best way is to antagonize the person continuously.",No,left
,,,You might find an old arrowhead buried in the dirt.,Yes,right,A teacher might recommend that you stop talking to a friend and do your work.,Yes,right,A planet that is habitable will support life.,Yes,right,Doing the same thing over and over again can be very monotonous.,Yes,right,A confidential remark is not meant to be repeated to others.,Yes,right,Ice cream is a very distasteful thing to be given to eat for almost all children regardless of their age.,No,left,A football game that ends with a tie score of fourteen to fourteen is an example of a decisive victory.,No,left
,,,The planets can be found in a pineapple under the sea.,No,left,People walked on the moon in prehistoric times.,No,left,Dynamite is often used in cooking.,No,left,A victorious runner might have a reason to be happy.,Yes,right,Winning the lottery would be complete agony for most people.,No,left,A tornado can result in a catastrophe if it strikes where people will live and a safe place to go is not available.,Yes,right,Some criminals have an accomplice who accompanies them.,Yes,right
,,,Puppies gallop faster than horses.,No,left,You can get some information that you need from a radio.,Yes,right,Frost can appear on a vehicle if the climate is extremely cold.,Yes,right,A gangster is a person who gives millions to charities.,No,left,A convict who attempts to escape from prison is likely to receive a longer sentence.,Yes,right,Most bankers are given bonuses if they are able to embezzle money from the bank to buy a sailboat.,No,left,Libraries prefer that all people be delinquent in returning books.,No,left
,,,A doctor uses a telescope to check your heart.,No,left,Playing ball can be a good way to get recreation and exercise.,Yes,right,An assertive girl is likely to say what she really thinks rather than keep quiet.,Yes,right,A fisherman might exaggerate the size of a trophy fish that got away.,Yes,right,An airplane accelerates down the runway before lifting off into the air.,Yes,right,Compulsory rules are not optional but rather must always be followed.,Yes,right,Supporters denounce the candidate they are working for rather than the opponent.,No,left
,,,A relative can be your cousin.,Yes,right,Mathematics is the study of plant life.,No,left,The weather always is very cold at the equator.,No,left,Many school children carry a fire hydrant in their backpacks in case a fire alarm occurs.,No,left,An abbreviated program is one that is longer than a complete program.,No,left,Hamburgers and hot dogs sometimes are sold at concession stands at various sporting events.,Yes,right,Police officers try to apprehend criminals and to prevent crime.,Yes,right
,,,A teacher might have an assistant in the classroom.,Yes,right,Bubbles you blow from bubble gum are very durable.,No,left,Someone with a large appetite will eat very little food.,No,left,Doing two hundred sit-ups requires stamina.,Yes,right,Most parents will disapprove if their children earn perfect scores on a difficult and important test.,No,left,Two people who dislike being together are inseparable.,No,left,"Drinking a glass of water leads to immediate, extreme discomfort for most people.",No,left
,,,A cowboy is a person who enjoys riding seals.,No,left,People who build tunnels through mountains might use dynamite.,Yes,right,Not being able to swim is a barrier to having a career as a swimming instructor.,Yes,right,A dissatisfied customer is likely to leave a very large tip after a meal.,No,left,Some criminals have an accomplice who accompanies them.,Yes,right,Fingerprints can incriminate a suspect.,Yes,right,Bleach is sometimes used in washing machines to remove difficult stains from very dirty clothes.,Yes,right
,,,You might use goggles to see while swimming under water.,Yes,right,A penny is a significant sum of money.,No,left,Wearing a blindfold is better than wearing glasses if you cannot see the board clearly.,No,left,"A good label for a box that contains all kinds of different things would be ""Miscellaneous"".",Yes,right,Libraries prefer that all people be delinquent in returning books.,No,left,Spanish is the predominant language spoken in Mexico.,Yes,right,An arrogant person may not be liked by others because he conveys the impression that he is better than they are.,Yes,right
,,,Eyeglasses are meant to be worn inside your socks.,No,left,A viscious dog is very friendly and safe around children.,No,left,A solitary bird flying overhead will block out the sun and make it dark during the day.,No,left,"When a shortage of gasoline occurs, too much is available for purchase.",No,left,A football game that ends with a tie score of fourteen to fourteen is an example of a decisive victory.,No,left,Not helping a family whose automobile has broken down is an example of compassion.,No,left,Most parents will disapprove if their children earn perfect scores on a difficult and important test.,No,left
,,,A girl can be a bridesmaid in her sister’s wedding.,Yes,right,You might be told a tale about ghosts who inhabit cemeteries.,Yes,right,A boomerang that has been thrown correctly is supposed to come back to the person who threw it.,Yes,right,A provisional decision is one that is permanent and not subject to change.,No,left,Bleach is sometimes used in washing machines to remove difficult stains from very dirty clothes.,Yes,right,A dilapidated building is well maintained.,No,left,Turning on a light switch almost always results in disastrous consequences.,No,left
,,,,,,,,,,,,,,,,,,,,,Seeds germinate when conditions are suitable.,Yes,right
,,,,,,,,,,,,,,,,,,,,,Being open to different opinions and ideas is the key characteristic of an intolerant individual.,No,left
,,,,,,,,,,,,,,,,,,,,,Guerillas are tiny invertebrates that live under water.,No,left
,,,,,,,,,,,,,,,,,,,,,Spanish is the predominant language spoken in Mexico.,Yes,right
,,,,,,,,,,,,,,,,,,,,,A blood transfusion might be necessary in an operation.,Yes,right
,,,,,,,,,,,,,,,,,,,,,An inaccessible mountain is easily reached.,No,left
,,,,,,,,,,,,,,,,,,,,,A cumulative grade-point average never changes.,No,left
,,,,,,,,,,,,,,,,,,,,,An inevitable event is unlikely to occur.,No,left
,,,,,,,,,,,,,,,,,,,,,Your passport might be scrutinized if you seem suspicious when returning from visiting a foreign country.,Yes,right
,,,,,,,,,,,,,,,,,,,,,"After an operation, it may take months to recuperate completely.",Yes,right
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
